country,lat,lng,name,Count
Australia,-37.8497,144.968,Australian Grand Prix,25
Malaysia,2.76083,101.738,Malaysian Grand Prix,19
China,31.3389,121.22,Chinese Grand Prix,16
Bahrain,26.0325,50.5106,Bahrain Grand Prix,18
Spain,41.57,2.26111,Spanish Grand Prix,32
Turkey,40.9517,29.405,Turkish Grand Prix,9
Monaco,43.7347,7.42056,Monaco Grand Prix,68
Canada,45.5,-73.5228,Canadian Grand Prix,41
UK,52.0786,-1.01694,British Grand Prix,56
France,46.8642,3.16361,French Grand Prix,18
Germany,50.3356,6.9475,German Grand Prix,26
Germany,50.3356,6.9475,European Grand Prix,12
Hungary,47.5789,19.2486,Hungarian Grand Prix,37
Germany,49.3278,8.56583,German Grand Prix,37
Spain,39.4589,-0.331667,European Grand Prix,5
Belgium,50.4372,5.97139,Belgian Grand Prix,55
Italy,45.6156,9.28111,Italian Grand Prix,72
Singapore,1.2914,103.864,Singapore Grand Prix,13
Japan,34.8431,136.541,Japanese Grand Prix,32
Brazil,-23.7036,-46.6997,Brazilian Grand Prix,38
Japan,35.3717,138.927,Japanese Grand Prix,4
UAE,24.4672,54.6031,Abu Dhabi Grand Prix,14
USA,39.795,-86.2347,United States Grand Prix,8
Italy,44.3439,11.7167,San Marino Grand Prix,26
Austria,47.2197,14.7647,Austrian Grand Prix,34
Argentina,-34.6943,-58.4593,Argentine Grand Prix,20
Germany,50.3356,6.9475,Luxembourg Grand Prix,2
Spain,36.7083,-6.03417,European Grand Prix,2
Portugal,38.7506,-9.39417,Portuguese Grand Prix,13
Japan,34.915,134.221,Pacific Grand Prix,2
Australia,-34.9272,138.617,Australian Grand Prix,11
South Africa,-25.9894,28.0767,South African Grand Prix,20
UK,52.8306,-1.37528,European Grand Prix,1
Mexico,19.4042,-99.0907,Mexican Grand Prix,20
USA,33.4479,-112.075,United States Grand Prix,3
France,43.2506,5.79167,French Grand Prix,18
Spain,36.7083,-6.03417,Spanish Grand Prix,5
Korea,34.7333,126.417,Korean Grand Prix,4
Brazil,-22.9756,-43.395,Brazilian Grand Prix,10
USA,42.3298,-83.0401,Detroit Grand Prix,7
UK,51.3569,0.263056,British Grand Prix,12
Netherlands,52.3888,4.54092,Dutch Grand Prix,32
UK,51.3569,0.263056,European Grand Prix,2
Belgium,50.9894,5.25694,Belgian Grand Prix,10
France,47.3625,4.89913,French Grand Prix,5
USA,32.7774,-96.7587,Dallas Grand Prix,1
USA,33.7651,-118.189,United States Grand Prix West,8
France,47.3625,4.89913,Swiss Grand Prix,1
USA,36.1162,-115.174,Caesars Palace Grand Prix,2
Spain,40.6171,-3.58558,Spanish Grand Prix,9
Italy,44.3439,11.7167,Italian Grand Prix,1
USA,42.3369,-76.9272,United States Grand Prix,20
Sweden,57.2653,13.6042,Swedish Grand Prix,6
Canada,44.0481,-78.6756,Canadian Grand Prix,8
Spain,41.3664,2.15167,Spanish Grand Prix,4
Belgium,50.6211,4.32694,Belgian Grand Prix,2
France,45.7472,3.03889,French Grand Prix,4
Canada,46.1877,-74.6099,Canadian Grand Prix,2
France,49.3306,1.00458,French Grand Prix,5
France,47.95,0.224231,French Grand Prix,1
France,49.2542,3.93083,French Grand Prix,11
South Africa,-33.0486,27.8736,South African Grand Prix,3
Austria,47.2039,14.7478,Austrian Grand Prix,1
UK,53.4769,-2.94056,British Grand Prix,5
USA,39.795,-86.2347,Indianapolis 500,11
Portugal,41.1705,-8.67325,Portuguese Grand Prix,2
USA,33.937,-117.273,United States Grand Prix,1
Germany,52.4806,13.2514,German Grand Prix,1
Portugal,38.7197,-9.20306,Portuguese Grand Prix,1
USA,27.4547,-81.3483,United States Grand Prix,1
Morocco,33.5786,-7.6875,Moroccan Grand Prix,1
Italy,42.475,14.1508,Pescara Grand Prix,1
Switzerland,46.9589,7.40194,Swiss Grand Prix,5
Spain,41.3903,2.11667,Spanish Grand Prix,2
India,28.3487,77.5331,Indian Grand Prix,3
USA,30.1328,-97.6411,United States Grand Prix,10
Russia,43.4057,39.9578,Russian Grand Prix,8
Azerbaijan,40.3725,49.8533,European Grand Prix,1
Azerbaijan,40.3725,49.8533,Azerbaijan Grand Prix,5
Austria,47.2197,14.7647,Styrian Grand Prix,2
UK,52.0786,-1.01694,70th Anniversary Grand Prix,1
Italy,43.9975,11.3719,Tuscan Grand Prix,1
Germany,50.3356,6.9475,Eifel Grand Prix,1
Portugal,37.227,-8.6267,Portuguese Grand Prix,2
Italy,44.3439,11.7167,Emilia Romagna Grand Prix,3
Bahrain,26.0325,50.5106,Sakhir Grand Prix,1
Qatar,25.49,51.4542,Qatar Grand Prix,1
Mexico,19.4042,-99.0907,Mexico City Grand Prix,2
Brazil,-23.7036,-46.6997,Ṣo Paulo Grand Prix,1
Saudi Arabia,21.6319,39.1044,Saudi Arabian Grand Prix,2
USA,25.9581,-80.2389,Miami Grand Prix,1
